path,domain,entrypoints,authz,side_effects,external_dependencies,success_evidence,failure_evidence,test_files,status,owner,notes
server/routes/accessibility.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/achievements.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/adaptivePricing.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/admin/auditLog.ts,admin,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/admin/beatMoneyLoop.ts,admin,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/admin/contentSampler.ts,admin,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/admin/index.ts,admin,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/admin/intelligence.ts,admin,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/admin/metrics.ts,admin,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/admin.ts,admin,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/advertisingAutopilot.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/advertising.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/ai.ts,ai,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/analytics-internal.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/api/analyticsAlerts.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/api/certifiedAnalytics.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/apiKeys.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/api/v1/analytics.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/arIntelligence.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/artistProfiles.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/artistProgress.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/assistant.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/audioAnalysis.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/audio-processing.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/audit.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/auth.ts,auth,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/autonomousSocial.ts,social,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/autopilot-coordinator.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/autopilot-learning.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/autopilotPreferences.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/autopilot.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/autoUpdates.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/backup.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/batch.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/billing.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/bootstrap.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/careerCoach.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/collaborations.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/collaboration.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/connectedAccounts.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/content-analysis.ts,social,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/contracts.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/creativeModel.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/customWorkflows.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/developerApi.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/distribution.ts,distribution,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/dmca.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/dnsManager.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
server/routes/dns.ts,api,,,,,,,,UNREVIEWED,,backend route; Requires feature-level evidence review.
